CustomerID,Orders,Total_Spend
C38840,2,5723.23
C57276,1,3456.4
C67260,1,3390.8
C13877,1,3384.9
C18404,1,3370.2
C16775,1,3353.75
C65986,1,3352.4
C47778,1,3334.0
C59183,1,3322.55
C25276,1,3313.9
C53464,1,3299.25
C13108,1,3293.85
C88029,1,3277.75
C27202,1,3267.35
C35987,1,3267.3
C36725,1,3253.6
C87281,1,3243.25
C84331,1,3223.2
C73575,1,3219.45
C88205,1,3215.15
C93473,1,3196.85
C52879,1,3194.6
C48453,1,3194.0
C89979,1,3170.0
C85282,1,3143.7
C35983,1,3137.15
C43443,1,3129.85
C35377,1,3119.05
C15624,1,3097.6
C20817,1,3078.35
C36408,1,3075.5
C90363,1,3044.55
C39074,1,3032.6
C79533,1,3008.6
C71310,1,2922.3
C35669,1,2894.15
C11415,1,2876.2
C55286,1,2873.95
C97593,2,2855.2200000000003
C72649,1,2853.1
C50415,1,2830.35
C43595,1,2807.4
C83911,1,2799.52
C18717,1,2793.15
C29703,1,2790.0
C98317,1,2786.84
C23405,1,2780.4
C43124,1,2773.44
C84134,1,2772.28
C22783,1,2771.64
C20512,1,2763.12
C52717,1,2756.35
C81728,1,2753.4
C99116,1,2746.44
C94311,1,2740.8
C32956,1,2715.8
C13366,1,2714.2
C72241,1,2709.48
C12388,1,2683.6
C70566,1,2682.9
C19648,1,2673.44
C92049,1,2666.08
C48942,1,2654.68
C80223,1,2651.76
C88075,1,2651.7
C70148,1,2647.75
C65083,1,2631.16
C43524,1,2621.3
C70437,1,2620.72
C87181,1,2619.16
C27070,1,2612.52
C91591,1,2609.92
C76207,1,2606.25
C31761,1,2600.16
C85841,1,2597.88
C66093,1,2595.64
C84630,1,2592.75
C69213,1,2579.84
C18820,1,2573.0
C58773,1,2567.45
C30411,1,2551.16
C89592,1,2547.9
C55996,1,2543.45
C79475,1,2542.95
C88463,1,2539.7
C96434,1,2536.2
C81370,1,2532.25
C34266,1,2519.52
C59169,1,2517.36
C58108,1,2517.36
C27898,1,2513.55
C76766,1,2512.48
C78500,1,2512.35
C24751,1,2506.3
C81840,1,2504.04
C77272,1,2492.4
C60329,1,2476.75
C92575,1,2464.7
C98216,1,2463.75
C50236,1,2463.32
C27613,1,2462.6
C71698,1,2446.85
C88981,1,2445.04
C20861,1,2441.75
C63372,1,2428.55
C95643,1,2426.28
C51145,1,2403.24
C87994,1,2392.76
C37455,1,2380.05
C45599,1,2379.75
C97603,1,2373.08
C20077,1,2372.88
C59278,1,2360.05
C53810,1,2358.28
C19451,1,2357.76
C33634,1,2355.4
C84480,1,2342.55
C50097,1,2339.05
C69994,1,2332.1
C18105,1,2332.08
C70613,1,2323.7
C70412,1,2313.12
C66840,1,2313.08
C61849,1,2311.28
C57798,1,2308.32
C33744,1,2307.48
C67195,1,2306.08
C97218,1,2300.7
C69009,1,2280.3
C17181,1,2276.65
C71680,1,2270.28
C65799,1,2260.8
C57502,1,2242.32
C74005,1,2240.75
C21167,1,2235.6
C32960,1,2223.8
C93467,1,2219.32
C43212,1,2200.56
C63153,1,2199.04
C85993,1,2189.28
C22167,1,2178.3
C98474,2,2175.34
C97681,1,2166.3
C15681,1,2161.64
C81726,1,2161.36
C39638,1,2161.32
C55632,1,2158.45
C14576,1,2156.8
C48939,1,2147.25
C41478,1,2138.28
C71570,1,2137.92
C91029,1,2131.48
C65056,1,2129.96
C64641,1,2119.65
C36383,1,2107.2
C13205,1,2107.1
C27435,1,2104.9
C98168,1,2103.5
C41974,1,2099.79
C59441,1,2092.65
C39593,1,2078.13
C20357,1,2077.32
C39911,1,2073.6
C84524,1,2071.92
C59338,1,2070.9
C61090,1,2062.36
C38126,1,2060.76
C80004,1,2052.42
C97643,1,2051.0
C53070,1,2048.24
C86762,1,2043.65
C74982,1,2042.8
C31412,1,2042.32
C31946,1,2037.52
C82344,1,2028.63
C70315,1,2024.44
C38966,1,2021.95
C20643,1,2011.96
C75018,1,2007.18
C71899,1,2004.99
C74866,1,1994.37
C98761,1,1994.04
C95901,1,1993.38
C76675,1,1991.79
C88775,1,1989.05
C32183,1,1985.67
C80872,1,1984.3
C70492,1,1984.0
C55164,1,1979.64
C90757,1,1979.36
C33729,1,1978.71
C63827,1,1974.92
C46873,1,1965.16
C36534,1,1963.62
C68266,1,1960.89
C60575,1,1959.3
C67551,1,1955.12
C91582,1,1949.79
C60361,1,1948.1
C96136,1,1946.1
C73289,1,1945.77
C49198,1,1940.37
C94568,1,1939.4
C81192,1,1939.02
C87995,1,1925.92
C29685,1,1923.45
C65524,1,1919.1
C38557,1,1915.5
C66332,1,1907.94
C22657,1,1901.91
C60190,1,1898.76
C28648,1,1895.44
C36613,1,1894.92
C78725,1,1880.36
C43545,1,1876.25
C32580,1,1874.95
C69021,1,1874.52
C26966,1,1872.9
C95623,1,1870.02
C66112,1,1866.8
C85520,1,1862.64
C63619,1,1857.63
C71797,1,1857.16
C70659,2,1853.96
C33220,1,1852.16
C46886,1,1849.17
C36813,1,1842.45
C74359,1,1841.25
C20212,1,1834.35
C18583,1,1822.1
C93309,1,1821.4
C91805,1,1819.23
C46015,1,1812.3
C69396,1,1808.25
C97774,1,1807.88
C95213,1,1806.72
C43919,1,1804.8
C96257,1,1803.0
C51157,1,1778.61
C20731,1,1777.76
C29041,1,1768.68
C18984,1,1767.9
C18076,1,1766.22
C78684,1,1765.32
C31501,1,1764.15
C60042,1,1761.24
C97907,1,1758.63
C88645,1,1751.16
C20977,1,1740.48
C66462,1,1739.6
C71040,1,1739.4
C33313,1,1738.65
C39176,1,1737.68
C48176,1,1736.92
C17269,1,1733.8
C90852,1,1725.03
C97262,1,1724.04
C80151,1,1723.32
C96595,1,1719.66
C82217,1,1717.48
C28152,1,1714.59
C25967,1,1709.8
C41320,1,1709.52
C71473,1,1709.2
C39530,1,1704.15
C14114,1,1704.06
