YearMonth,Orders,Revenue
2023-01,47,56685.75
2023-02,37,40117.659999999996
2023-03,43,48609.37
2023-04,31,27751.71
2023-05,49,63836.84
2023-06,45,49500.19
2023-07,44,42820.659999999996
2023-08,51,54352.14
2023-09,29,29526.670000000002
2023-10,47,52607.85
2023-11,41,43079.67
2023-12,46,43754.73
2024-01,32,38528.08
2024-02,32,36909.57
2024-03,36,36030.9
2024-04,50,49613.14
2024-05,34,27909.11
2024-06,53,68068.54000000001
2024-07,43,42963.98
2024-08,28,31991.07
2024-09,44,39794.98
2024-10,31,37226.97
2024-11,35,32413.76
2024-12,41,38785.770000000004
2025-01,27,29099.4
2025-02,37,35317.55
2025-03,49,39200.66
2025-04,32,31821.2
2025-05,37,43396.64
2025-06,49,53047.4
